SMSA FIPS,SMSA name,"Black-white D for 1960 cities, Taeuber","D: Non-Hispanic White/Non-Hispanic Black, 1970","D: Non-Hispanic White/Non-Hispanic Black, 1980","D: Non-Hispanic White/Non-Hispanic Black, 1990","D: Non-Hispanic White/Non-Hispanic Black, 2000","D: Non-Hispanic White/Non-Hispanic Black, 2010","D: Non-Hispanic White/Hispanic, 1970","D: Non-Hispanic White/Hispanic, 1980","D: Non-Hispanic White/Hispanic, 1990","D: Non-Hispanic White/Hispanic, 2000","D: Non-Hispanic White/Hispanic, 2010","D: Non-Hispanic White/Asian, 1970","D: Non-Hispanic White/Asian, 1980","D: Non-Hispanic White/Asian, 1990","D: Non-Hispanic White/Asian, 2000","D: Non-Hispanic White/Asian, 2010",,,,,,,,,,,,,,,,,,
smsa,msa_name,,dissim_WB_70,dissim_WB_80,dissim_WB_90,dissim_WB_00,dissim_WB_10,dissim_WH_70,dissim_WH_80,dissim_WH_90,dissim_WH_00,dissim_WH_10,dissim_WA_70,dissim_WA_80,dissim_WA_90,dissim_WA_00,dissim_WA_10,,,,,,,,,,,,,,,,,,
160,"Albany-Schenectady-Troy, NY SMSA",0.765,0.885,0.757,0.727,0.723,0.699,0.919,0.656,0.635,0.615,0.574,0.816,0.741,0.684,0.668,0.634,,,,,,,,,,,,,,,,,,
200,"Albuquerque, NM SMSA",0.765,0.912,0.654,0.598,0.582,0.554,0.674,0.512,0.479,0.475,0.447,0.794,0.699,0.582,0.570,0.541,,,,,,,,,,,,,,,,,,
360,"Anaheim-Santa Ana-Garden Grove, CA SMSA",,0.953,0.660,0.577,0.590,0.585,0.615,0.503,0.582,0.627,0.603,0.518,0.442,0.434,0.493,0.506,,,,,,,,,,,,,,,,,,
520,"Atlanta, GA SMSA",0.936,0.942,0.863,0.785,0.736,0.683,0.832,0.579,0.536,0.639,0.607,0.796,0.668,0.580,0.579,0.583,,,,,,,,,,,,,,,,,,
640,"Austin, TX SMSA",0.931,0.922,0.742,0.663,0.647,0.619,0.739,0.549,0.518,0.541,0.517,0.772,0.644,0.591,0.561,0.537,,,,,,,,,,,,,,,,,,
680,"Bakersfield, CA SMSA",0.875,0.963,0.785,0.695,0.673,0.660,0.788,0.622,0.613,0.601,0.582,0.807,0.693,0.625,0.642,0.624,,,,,,,,,,,,,,,,,,
720,"Baltimore, MD SMSA",0.896,0.914,0.828,0.792,0.750,0.722,0.874,0.599,0.547,0.537,0.542,0.748,0.646,0.569,0.566,0.574,,,,,,,,,,,,,,,,,,
1000,"Birmingham, AL SMSA",0.928,0.934,0.886,0.855,0.823,0.768,0.954,0.709,0.722,0.717,0.691,0.929,0.781,0.773,0.728,0.678,,,,,,,,,,,,,,,,,,
1120,"Boston, MA SMSA",0.839,0.914,0.819,0.762,0.751,0.720,0.908,0.712,0.694,0.703,0.664,0.796,0.719,0.632,0.615,0.572,,,,,,,,,,,,,,,,,,
1280,"Buffalo, NY SMSA",0.865,0.931,0.853,0.842,0.821,0.778,0.913,0.680,0.685,0.667,0.610,0.835,0.794,0.734,0.723,0.703,,,,,,,,,,,,,,,,,,
1600,"Chicago, IL SMSA",0.926,0.954,0.917,0.879,0.854,0.824,0.821,0.700,0.687,0.679,0.650,0.775,0.645,0.598,0.589,0.568,,,,,,,,,,,,,,,,,,
1640,"Cincinnati, OH-KY-IN SMSA",0.89,0.912,0.849,0.823,0.801,0.767,0.908,0.622,0.608,0.555,0.542,0.796,0.684,0.650,0.616,0.606,,,,,,,,,,,,,,,,,,
1680,"Cleveland, OH SMSA",0.913,0.944,0.907,0.879,0.838,0.795,0.906,0.673,0.664,0.652,0.603,0.793,0.658,0.623,0.608,0.590,,,,,,,,,,,,,,,,,,
1840,"Columbus, OH SMSA",0.853,0.908,0.780,0.741,0.706,0.683,0.897,0.622,0.598,0.603,0.580,0.777,0.684,0.631,0.606,0.589,,,,,,,,,,,,,,,,,,
1880,"Corpus Christi, TX SMSA",0.886,0.946,0.802,0.719,0.659,0.635,0.730,0.623,0.575,0.545,0.497,0.849,0.746,0.678,0.628,0.615,,,,,,,,,,,,,,,,,,
1920,"Dallas-Fort Worth, TX SMSA",0.946,0.973,0.855,0.730,0.694,0.663,0.802,0.602,0.597,0.617,0.588,0.844,0.713,0.625,0.615,0.605,,,,,,,,,,,,,,,,,,
2000,"Dayton, OH SMSA",0.913,0.939,0.834,0.817,0.784,0.743,0.908,0.662,0.658,0.628,0.577,0.803,0.707,0.673,0.655,0.648,,,,,,,,,,,,,,,,,,
2080,"Denver-Boulder, CO SMSA",0.855,0.944,0.759,0.727,0.721,0.708,0.758,0.544,0.531,0.553,0.549,0.744,0.603,0.569,0.533,0.516,,,,,,,,,,,,,,,,,,
2160,"Detroit, MI SMSA",0.845,0.937,0.896,0.899,0.882,0.804,0.916,0.632,0.612,0.610,0.580,0.836,0.719,0.681,0.671,0.656,,,,,,,,,,,,,,,,,,
2320,"El Paso, TX SMSA",0.805,0.818,0.584,0.538,0.553,0.493,0.695,0.615,0.577,0.536,0.512,0.661,0.557,0.507,0.541,0.513,,,,,,,,,,,,,,,,,,
2680,"Fort Lauderdale-Hollywood, FL SMSA",0.981,0.982,0.908,0.785,0.704,0.658,0.841,0.475,0.421,0.415,0.414,0.836,0.691,0.590,0.546,0.518,,,,,,,,,,,,,,,,,,
2840,"Fresno, CA SMSA",0.839,0.955,0.755,0.700,0.682,0.659,0.732,0.529,0.577,0.569,0.546,0.656,0.496,0.631,0.583,0.543,,,,,,,,,,,,,,,,,,
2960,"Gary-Hammond-East Chicago, IN SMSA",0.928,0.952,0.925,0.931,0.897,0.829,0.846,0.629,0.609,0.554,0.509,0.884,0.758,0.753,0.730,0.703,,,,,,,,,,,,,,,,,,
3120,"Greensboro--Winston-Salem--High Point, NC SMSA",0.933,0.930,0.818,0.765,0.725,0.695,0.948,0.696,0.707,0.716,0.638,0.900,0.800,0.766,0.721,0.690,,,,,,,,,,,,,,,,,,
3360,"Houston, TX SMSA",0.937,0.951,0.834,0.762,0.748,0.705,0.754,0.579,0.593,0.623,0.608,0.805,0.598,0.608,0.615,0.605,,,,,,,,,,,,,,,,,,
3480,"Indianapolis, IN SMSA",0.916,0.927,0.853,0.823,0.787,0.745,0.905,0.646,0.644,0.653,0.619,0.823,0.706,0.689,0.664,0.637,,,,,,,,,,,,,,,,,,
3640,"Jersey City, NJ SMSA",0.779,0.873,0.854,0.792,0.741,0.701,0.663,0.565,0.514,0.524,0.546,0.754,0.628,0.534,0.540,0.522,,,,,,,,,,,,,,,,,,
3760,"Kansas City, MO-KS SMSA",0.915,0.946,0.860,0.803,0.769,0.696,0.883,0.600,0.576,0.592,0.560,0.844,0.723,0.664,0.642,0.592,,,,,,,,,,,,,,,,,,
4480,"Los Angeles-Long Beach, CA SMSA",0.818,0.941,0.841,0.773,0.746,0.722,0.637,0.620,0.660,0.675,0.671,0.682,0.569,0.535,0.569,0.564,,,,,,,,,,,,,,,,,,
4520,"Louisville, KY-IN SMSA",0.892,0.929,0.814,0.780,0.729,0.665,0.925,0.639,0.674,0.624,0.574,0.841,0.720,0.725,0.686,0.636,,,,,,,,,,,,,,,,,,
4920,"Memphis, TN-AR-MS SMSA",0.92,0.932,0.837,0.805,0.761,0.728,0.931,0.691,0.638,0.661,0.653,0.848,0.714,0.647,0.636,0.610,,,,,,,,,,,,,,,,,,
5000,"Miami, FL SMSA",0.979,0.958,0.862,0.799,0.798,0.794,0.718,0.603,0.573,0.502,0.519,0.812,0.686,0.600,0.603,0.587,,,,,,,,,,,,,,,,,,
5080,"Milwaukee, WI SMSA",0.881,0.943,0.864,0.860,0.860,0.844,0.914,0.674,0.665,0.671,0.642,0.832,0.721,0.693,0.671,0.626,,,,,,,,,,,,,,,,,,
5120,"Minneapolis-St. Paul, MN-WI SMSA",0.793,0.948,0.781,0.735,0.720,0.679,0.942,0.665,0.617,0.632,0.591,0.834,0.659,0.637,0.614,0.579,,,,,,,,,,,,,,,,,,
5360,"Nashville-Davidson, TN SMSA",0.917,0.908,0.796,0.722,0.676,0.640,0.907,0.628,0.608,0.637,0.601,0.836,0.747,0.692,0.644,0.599,,,,,,,,,,,,,,,,,,
5380,"Nassau-Suffolk, NY SMSA",,0.925,0.868,0.852,0.830,0.793,0.850,0.578,0.579,0.596,0.588,0.839,0.730,0.630,0.617,0.590,,,,,,,,,,,,,,,,,,
