ORG_CODE,DISTRICT_NAME,COUNTY,Grade,District_Total,Black,Asian,Hispanic,Multiracial,NativeAmerican,NativeHawaiianPacificIslander,White
0001,Abington,Plymouth,Gr.1,168,8,4,26,2,1,0,127
0001,Abington,Plymouth,Gr.2,161,8,5,13,3,4,0,128
0001,Abington,Plymouth,Gr.3,144,10,3,11,1,2,0,117
0001,Abington,Plymouth,Gr.4,162,7,2,20,1,2,1,129
0001,Abington,Plymouth,Gr.5,140,7,5,15,4,0,0,109
0001,Abington,Plymouth,Gr.6,169,5,4,20,3,0,1,136
0001,Abington,Plymouth,Gr.7,161,7,4,17,3,2,0,128
0001,Abington,Plymouth,Gr.8,169,5,3,18,6,1,0,136
0001,Abington,Plymouth,Gr.9,146,5,3,16,0,0,0,122
0001,Abington,Plymouth,Gr.10,160,8,7,22,2,0,0,121
0001,Abington,Plymouth,Gr.11,153,10,4,12,2,0,0,125
0001,Abington,Plymouth,Gr.12,152,8,3,14,2,0,0,125
0001,Abington,Plymouth,SPED_Beyond_Grade_12,8,0,1,1,0,0,0,6
0001,Abington,Plymouth,K,173,10,4,23,12,0,0,124
0001,Abington,Plymouth,PK,51,4,1,2,0,0,0,44
0003,Acushnet,Bristol,Gr.1,83,1,1,3,3,0,0,75
0003,Acushnet,Bristol,Gr.2,117,1,2,2,5,0,0,107
0003,Acushnet,Bristol,Gr.3,95,3,1,3,3,0,0,85
0003,Acushnet,Bristol,Gr.4,80,1,0,4,4,1,0,70
0003,Acushnet,Bristol,Gr.5,108,0,1,3,8,0,0,96
0003,Acushnet,Bristol,Gr.6,104,0,1,7,4,0,0,92
0003,Acushnet,Bristol,Gr.7,100,1,1,2,0,1,0,95
0003,Acushnet,Bristol,Gr.8,109,0,1,4,5,0,0,99
0003,Acushnet,Bristol,Gr.9,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.10,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.11,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,Gr.12,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***
0003,Acushnet,Bristol,K,86,0,0,11,4,0,0,71
0003,Acushnet,Bristol,PK,28,1,0,1,1,0,0,25
0005,Agawam,Hampden,Gr.1,257,3,15,32,12,0,0,195
0005,Agawam,Hampden,Gr.2,251,4,13,25,7,0,0,202
0005,Agawam,Hampden,Gr.3,230,6,8,32,8,0,0,176
0005,Agawam,Hampden,Gr.4,278,7,5,21,9,0,1,235
0005,Agawam,Hampden,Gr.5,254,3,6,24,6,0,0,215
0005,Agawam,Hampden,Gr.6,272,8,10,36,9,0,0,209
0005,Agawam,Hampden,Gr.7,308,4,12,39,11,0,0,242
0005,Agawam,Hampden,Gr.8,275,13,4,20,9,0,0,229
0005,Agawam,Hampden,Gr.9,281,6,12,23,9,0,0,231
0005,Agawam,Hampden,Gr.10,281,6,10,24,8,0,0,233
0005,Agawam,Hampden,Gr.11,217,4,5,19,7,1,0,181
0005,Agawam,Hampden,Gr.12,271,4,2,23,6,0,0,236
0005,Agawam,Hampden,SPED_Beyond_Grade_12,0,***,***,***,***,***,***,***
0005,Agawam,Hampden,K,227,5,7,28,7,0,0,180
0005,Agawam,Hampden,PK,106,3,7,16,3,0,0,77
0007,Amesbury,Essex,Gr.1,122,3,0,14,3,0,0,102
0007,Amesbury,Essex,Gr.2,116,2,1,10,4,0,1,98
