District,prior_years_not_future,status_19_20,grades_19_20,status_20_21,grades_20_21
Abington,*,No,,No,
Acushnet,,No,,No,
Agawam,,Yes,,Yes,
Amesbury,,Yes,,Yes,
Amherst,,Yes,,Yes,K
Andover,,No,,No,
Arlington,,No,,No,
Ashland,,Yes,12-Sep,Yes,"K-1, 9-12"
Attleboro,,Yes,,No,
Auburn,,Yes,,Yes,12-Jun
Avon,,Yes,,Yes,
Barnstable,,Yes,,Yes,
Bedford,,No,,No,
Belchertown,,Yes,"K, 1, 4, & 6-10",Yes,
Bellingham,,Yes,,Yes,"1-2, 4-5, 8, & 10-12"
Belmont,,No,,No,
Berkley,,Yes,"K-5, 7, & 8",Yes,K & 2-3
Beverly,,Yes,,Yes,
Billerica,,No,,No,
Boston,,No,,No,
Bourne,,Yes,,Yes,
Boxford,,No,,No,
Braintree,,No,,No,
Brewster,,No,,Yes,
Brimfield,,No,,No,
Brockton,,Yes,12-Sep,Yes,12-Aug
Brookfield,,Yes,"K, 2, 4, & 6",Yes,2
Brookline,,No,,No,
Burlington,,Yes,12-Sep,Yes,12-Sep
Cambridge,,No,,No,
Canton,,No,,No,
Carlisle,,No,,No,
Carver,,Yes,K & 6-12,Yes,"K, 9-12"
Chelmsford,,Yes,9,Yes,5 & 9-10
Chelsea,,No,,No,
Chicopee,,Yes,,Yes,1-3 & 5-12
Clarksburg,*,Yes,K & 3,No,
Clinton,,Yes,K-5 & 7-12,Yes,K-6 & 8-12
Cohasset,,No,,No,
Concord,,No,,No,
Conway,,Yes,K-6,Yes,K-6
Danvers,,No,,No,
Dartmouth,,Yes,12-Sep,Yes,12-Sep
Dedham,,No,,No,
Deerfield,,Yes,K-6,Yes,K-6
Douglas,,Yes,,Yes,
Dover,,No,,No,
Dracut,,Yes,,Yes,K-12
Duxbury,,No,,No,
East Bridgewater,,Yes,12-Jul,Yes,12-Jul
Eastham,,No,,Yes,
Easthampton,,Yes,,Yes,
East Longmeadow,,No,,Yes,6 & 9
Easton,,No,,No,
Edgartown,,Yes,,Yes,
Erving,,No,,No,
Everett,,No,,No,
Fairhaven/New Bedford,,No,,No,
Fall River,,Yes,,Yes,
Falmouth,,Yes,K-11,Yes,K-11
Fitchburg,,Yes,,Yes,
Florida,*,Yes,K & 3,No,
Foxborough,,No,,No,
Framingham,,No,,No,
Franklin,*,No,,No,
Gardner,,Yes,,Yes,
Georgetown,,Yes,7,Yes,9
Gloucester,,Yes,,Yes,
Gosnold,,No,,No,
Grafton,,Yes,,Yes,
Granby,,Yes,,Yes,"K-1, 3-4, & 6-11"
Greenfield,,Yes,,Yes,"K, 5 & 8-12"
Hadley,,Yes,K-2 & 4-12,Yes,"K-1, 3, & 6-12"
Halifax,,No,,No,
Hancock,,Yes,,Yes,
Hanover,,No,,No,
Harvard,,Yes,6-8 & 10,Yes,
Hatfield,,Yes,K-11,Yes,"K-4, 7-9, & 11"
Haverhill,,Yes,12-Sep,Yes,10-Sep
Hingham,,No,,No,
Holbrook,*,Yes,10 & 11,No,
Holland,,Yes,1-3 & 5,Yes,"2-3, 4, & 6"
Holliston,,Yes,"K, 1, 3, 4, & 9-12",Yes,
Holyoke,,Yes,,Yes,K-12
Hopedale,,Yes,,Yes,K-12
Hopkinton,,No,,No,
Hudson,,Yes,K-11,Yes,
Hull,,No,,No,
Ipswich,,Yes,"2, 3, & 6-12",Yes,1-2 & 6-12
Kingston,,No,,No,
Lawrence,,No,,No,
Lee,,Yes,,Yes,K-2 & 4-12
Leicester,,Yes,5 & 9,Yes,5-8 & 10-11
Lenox,,Yes,K-8 & 11,Yes,"K-1, 4, & 6"
Leominster,,Yes,,Yes,
Leverett,,Yes,,Yes,
Lexington,,No,,No,
Lincoln,,No,,No,
Littleton,,Yes,"K, 1, 3, & 7-12",Yes,"K, 2, 4, & 8-12"
Longmeadow,,Yes,,Yes,3 & 9
Lowell,*,No,,No,
Ludlow,,Yes,"4, 5, & 9",Yes,
Lunenburg,,Yes,9 & 10,Yes,10-Sep
Lynn,,No,,No,
Lynnfield,,No,,No,
Malden,,No,,No,
Mansfield,,No,,No,
Marblehead,,No,,No,
Marion,,No,,No,
Marlborough,,No,,No,
Marshfield,*,No,,No,
Mashpee,,Yes,K-11,Yes,
Mattapoisett,,Yes,K,Yes,K-1
Maynard,,Yes,4-6 & 9,Yes,1-2 & 4-11
Medfield,,No,,No,
Medford,,No,,No,
Medway,,Yes,"K-3, 5, & 7-11",Yes,"K, 3-4, 6, & 8-12"
Melrose,*,No,,No,
